,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
292,137622,"Casa Porta, Limited Reserve Syrah Merlot",Porta Winery,Chile,Rapel Valley,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
293,137624,Porta Merlot,Porta Winery,Chile,Rapel Valley,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2009,750
294,137625,"Craggy Range, Gimblett Gravels Vineyards Merlot",Craggy Range,New Zealand,North Island,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2005,750
296,137627,"Del Fin Del Mundo, Postales Malbec",Del Fin Del Mundo,Argentina,,Malbec,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2017,750
297,137628,"Del Fin Del Mundo, Postales Merlot",Del Fin Del Mundo,Argentina,,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2014,750
299,137632,"Domaine Jacques Prieur, Beaune 1er Cru Les Champs Pimont",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,175000,2014,750
302,137635,"Domaine Jacques Prieur, Beaune 1er Cru Clos de la Feguine Rouge",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,240000,2014,750
303,137636,"Domaine Jacques Prieur, Beaune 1er Cru les Greves",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,240000,2014,750
305,137638,"Domaine Jacques Prieur, Corton Bressandes Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,600000,2014,750
310,137643,"Domaine Jacques Prieur, Volnay 1er Cru Champans",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,360000,2014,750
311,137644,"Domaine Jacques Prieur, Volnay 1er Cru Clos des Santenots",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,350000,2014,750
312,137645,"Domaine Jacques Prieur, Chambertin Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,650000,2014,750
313,137646,"Domaine Jacques Prieur, Clos de Vougeot Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,500000,2014,750
314,137647,"Domaine Jacques Prieur, Echezeaux Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,750000,2014,750
315,137648,"Domaine Jacques Prieur, Les Musigny Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,1050000,2014,750
326,137661,"Pepperwood Grove, Merlot",Don Sebastiani  Sons,USA,California,Merlot,Red,Table,13.8,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
328,137663,"Don Sebastiani & Sons, Screw Kappa Napa Merlot",Don Sebastiani  Sons,USA,California,Merlot,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750
331,137666,"Don Sebastiani & Sons, Smoking Loon Merlot",Don Sebastiani  Sons,USA,California,Merlot,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,36000,2010,750
332,137667,"Don Sebastiani & Sons, Smoking Loon Syrah",Don Sebastiani  Sons,USA,California,Syrah & Shiraz,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,40000,2007,750
336,137671,Chateau Pey La Tour,Dourthe  Vins  Vignobles Dourthe,France,Bordeaux,Merlot,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,42000,2016,750
337,137672,Chateau Pey La Tour Reserve Bordeaux Superieur,Dourthe  Vins  Vignobles Dourthe,France,Bordeaux,Merlot,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,66000,2015,750
339,137674,"Dourthe, Cuvee 202 Rouge",Dourthe  Vins  Vignobles Dourthe,France,Syrah  Shiraz,Grenache,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,13000,0,750
341,137677,"Dourthe, Grands Terroirs Bordeaux Superieur ",Dourthe  Vins  Vignobles Dourthe,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,31000,2016,750
343,137682,"Dourthe, Le Cardinal Bordeaux",Dourthe  Vins  Vignobles Dourthe,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30000,2007,750
347,137696,Heritage de Le Boscq,Dourthe  Vins  Vignobles Dourthe,France,Bordeaux,Merlot,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,99000,2013,750
351,137704,"Echeverria, Classic Carmenere",Echeverria,Chile,Curico Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
352,137705,"Echeverria, Classic Merlot",Echeverria,Chile,Curico Valley,Merlot,Red,Table,12.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
356,137714,Valle Dorado Merlot,Echeverria,Chile,Central Valley,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2020,750
359,137725,"Geografico, Chianti Classico Fagnano",Geografico,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2002,750
360,137726,"Geografico, Chianti Classico",Geografico,Italy,Toscana,Sangiovese,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2003,750
361,137727,"Geografico, Chianti Classico Riserva Montegiachi",Geografico,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2001,750
362,137728,"Geografico, Chianti Classico Riserva San Giovanni",Geografico,Italy,Toscana,Sangiovese,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2002,750
363,137729,"Geografico, Chianti Colli Senesi",Geografico,Italy,Toscana,Sangiovese,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,30000,2019,750
364,137731,"Geografico, Chianti Colli Senesi Torri",Geografico,Italy,Toscana,Sangiovese,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2004,750
365,137732,"Geografico, Brunello di Montacino",Geografico,Italy,Toscana,Sangiovese,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,194000,2015,750
366,137733,"Geografico, Rosso di Montalcino",Geografico,Italy,Toscana,Sangiovese,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,82000,2016,750
370,137737,"Geografico, Le Mire Sangiovese",Geografico,Italy,Toscana,Sangiovese,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2004,750
371,137738,"Geografico, Pulleraia",Geografico,Italy,Toscana,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,108000,2012,750
372,137742,Grant Burge Filsell Shiraz,Grant Burge,Australia,South Australia,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,120000,2017,750
